1-900,5
2 days in the valley,5.9
"20,000 leagues under the sea",6.9
2001: a space odyssey,7.9
"301, 302",6.2
8 seconds,7.2
a boy called hate,6
a bronx tale,7.4
a close shave,7.5
a family thing,5.6
a farewell to arms,6.2
a good man in africa,5.2
a goofy movie,6.7
a great day in harlem,7
a hungarian fairy tale,0
a kid in king arthur's court,4.3
a little princess,7.4
a low down dirty shame,6
a man of no importance,6.5
a midwinter's tale,7.5
a modern affair,5
a month by the lake,7.2
a perfect world,7.2
a pyromaniac's love story,7
a simple twist of fate,5.7
a thin line between love and hate,5.7
a time to kill,7
a very brady sequel,5.8
a very natural thing,6.3
a walk in the clouds,6.5
a walk in the sun,5.2
above the rim,6.7
ace ventura: pet detective,6.4
ace ventura: when nature calls,6.1
across the sea of time,3.5
addams family values,6.5
airheads,5.8
aladdin,7.4
alaska,5.2
algiers,5.8
all about eve,8
all dogs go to heaven 2,5
all things fair,6.1
alphaville,6.8
amateur,6.5
american buffalo,6.2
an affair to remember,7.1
an american in paris,6.9
an awfully big adventure,6
an unforgettable summer,7.2
andre,5
angel and the badman,6.6
angel on my shoulder,5.7
angela,5.6
angels and insects,6.3
angels in the outfield,5.7
angus,6.8
anne frank remembered,7.3
another stakeout,4.9
antonia's line,7.2
apollo 13,7.3
around the world in eighty days,6.5
ashes of time,7.1
assassins,6
august,5.3
babe,6
babyfever,0
backbeat,6.2
bad boys,6.5
bad company,4.9
bad girls,4.6
balto,7.1
barb wire,3.9
barbarella,5.7
barcelona,6.6
basquiat,6.6
batman,7
batman forever,5.2
baton rouge,0
beat the devil,6.2
beautiful girls,6.6
beauty and the beast,7.5
bed of roses,5.1
before and after,5.8
before sunrise,7.7
before the rain,7.7
being human,5
belle de jour,7.3
beverly hills cop iii,5.5
beyond bedlam,4
beyond rangoon,6.4
bhaji on the beach,5.1
big bully,3.9
big night,6.8
billy madison,6.2
billy's holiday,0
bio-dome,4.4
bitter moon,7
black beauty,6.6
black sheep,6
blade runner,7.9
blink,6.3
bliss,4.8
bloodsport ii,5.2
blown away,6
blue chips,5.7
blue in the face,6.8
blue sky,6.1
body snatchers,5.8
bogus,5.4
boomerang,5.4
bordello of blood,5
bottle rocket,6.8
bound,6.9
boxing helena,4.5
boys,5.3
"boys life: three stories of love, lust, and liberation",2
boys on the side,6.3
braveheart,7.7
bread and chocolate,7.1
breakfast at tiffany's,7.6
bringing up baby,7.6
broken arrow,5.7
brother minister: the assassination of malcolm x,4
brother of sleep,6.8
brothers in trouble,0
bulletproof,5.4
bullets over broadway,7
burnt by the sun,6.7
bushwhacked,4.9
butterfly kiss,7.4
bye bye love,6.1
bye-bye,7.7
cabin boy,4.9
café au lait,6.8
calendar girl,3.7
canadian bacon,5.9
candyman: farewell to the flesh,5
captives,6
careful,7.8
carlito's way,7.7
carmen miranda: bananas is my business,10
carpool,4.9
carried away,5.4
carrington,6.4
casablanca,7.9
casino,7.8
casper,6
castle freak,5.8
cat on a hot tin roof,7.6
catwalk,7
caught,6.5
celtic pride,4.9
cemetery man,7
century,5
chain reaction,5.3
charade,7.7
chasers,4.7
chungking express,7.9
"ciao, professore!",7.2
cinderella,6.8
circle of friends,6.5
citizen kane,8
city hall,6
city slickers ii: the legend of curly's gold,4.9
clean slate,5.7
clear and present danger,6.4
clerks,7.4
cliffhanger,6.1
clockers,6.8
clueless,6.9
cobb,6.1
cold comfort farm,7
cold fever,7.7
coldblooded,6.7
colonel chabert,5.9
color of night,5.4
condition red,4.7
coneheads,4.8
congo,5
cool runnings,6.8
cops & robbersons,5
copycat,6.5
"corrina, corrina",6.4
cosi,7.1
country life,8
coup de torchon,6.8
courage under fire,6.2
crimson tide,7
cronos,6.4
crooklyn,6.7
crows and sparrows,5
crumb,7.6
"cry, the beloved country",6.7
curdled,6.2
cutthroat island,5.7
cyclo,6.8
d3: the mighty ducks,5.3
dances with wolves,7.6
dangerous game,5.4
dangerous ground,5
dangerous minds,6.4
dave,6.3
"davy crockett, king of the wild frontier",5.9
daylight,5.8
dazed and confused,7.4
dead man,7.2
dead man walking,7.3
dead presidents,6.6
dear diary,6.9
death and the maiden,7.1
death in brunswick,6.1
death in the garden,7.4
delta of venus,3.3
demolition man,6.4
denise calls up,6.6
desert winds,0
desperado,6.8
destiny turns on the radio,5.3
devil in a blue dress,6.3
diabolique,5.4
die hard: with a vengeance,6.9
diebinnen,4
dingo,6
disclosure,5.9
dolores claiborne,7.1
don juan demarco,6.3
don't be a menace to south central while drinking your juice in the hood,6.2
dos crímenes,5
double happiness,5.5
down periscope,5.6
dr. strangelove or: how i learned to stop worrying and love the bomb,8
dracula: dead and loving it,5.7
dragonheart,6.4
dream man,2.5
drop zone,5.1
dumb and dumber,6.5
dunston checks in,5.1
east of eden,7.5
eat drink man woman,7.5
ed,3.6
ed wood,7.3
ed's next move,3
eddie,5.4
emma,6.7
eraser,5.6
escape from l.a.,5.6
escape to witch mountain,6.5
even cowgirls get the blues,4.2
every other weekend,6
executive decision,5.8
exit to eden,4.3
exotica,6.5
extreme measures,5.7
eye for an eye,5.8
eyes without a face,7.5
faces,7.1
fair game,4.1
faithful,4.8
fall time,6.3
far from home: the adventures of yellow dog,5.6
farewell my concubine,7.8
fargo,7.7
farinelli,5.9
"faster, pussycat! kill! kill!",6.5
fatal instinct,5.4
father of the bride,6.6
father of the bride part ii,5.7
fear,6.1
fear of a black hat,5.8
fearless,6.8
feast of july,0
federal hill,5
feeling minnesota,5.5
first kid,5.3
first knight,5.9
fled,5.2
flesh and bone,6.2
flipper,5.3
flirt,7.5
flirting with disaster,6.3
fluke,6.6
fly away home,6.6
for love or money,5.7
for whom the bell tolls,6.1
force of evil,6.6
foreign correspondent,7
foreign student,0
forget paris,6.1
forrest gump,8.2
four rooms,6.5
four weddings and a funeral,6.6
foxfire,6.3
frank and ollie,7.5
frankie starlight,5.4
free willy,6
free willy 2 - the adventure home,5.5
french kiss,6.2
french twist,6
fresh,7.6
friday,7
frisk,3
from dusk till dawn,6.9
from the journals of jean seberg,6.5
funny face,7
gaslight,7.2
georgia,6.1
germinal,6.3
geronimo: an american legend,5.9
get shorty,6.4
getting away with murder,5.5
getting even with dad,4.5
ghost,6.9
ghost in the shell,7.8
giant,7.5
gigi,6.1
girl 6,5.7
girl in the cadillac,10
girls town,5.2
go fish,3.9
god's gift,5
gold diggers: the secret of bear mountain,5.8
golden earrings,4.8
goldeneye,6.6
gone fishin',4.7
gone with the wind,7.7
gordy,3
grace of my heart,6.5
grumpier old men,6.5
guardian angel,6.3
guilty as sin,5.6
gumby: the movie,5
hackers,6.2
halfaouine: boy of the terraces,7.4
halloween: the curse of michael myers,5
happiness is in the field,7
happy gilmore,6.5
happy weekend,0
hard target,6.1
harem,4
harriet the spy,5.7
headless body in topless bar,0
heat,7.7
heaven & earth,6.4
heaven's prisoners,5
heavenly creatures,6.9
heavy,7.7
heavy metal,6.3
heavyweights,6
hedd wyn,6.5
heidi fleiss: hollywood madam,6.8
hellraiser: bloodline,4.9
herbie rides again,5.9
hideaway,5
high school high,5.4
higher learning,6.4
highlander: the final dimension,4.5
his girl friday,7.5
homage,0
home alone,7.1
home for the holidays,6.3
homeward bound ii: lost in san francisco,6
homeward bound: the incredible journey,6.6
honeymoon,0
hoop dreams,7.7
hostile intentions,8
hot shots! part deux,6.2
house arrest,5
house party 3,4.6
houseguest,6
how to make an american quilt,6.5
i don't want to talk about it,6
i like it like that,6.3
i love trouble,5.3
i shot andy warhol,6.1
i'll do anything,5.7
"i, the worst of all",6.8
i.q.,5.9
if lucy fell,5.4
immortal beloved,6.9
in the army now,4.7
in the line of fire,6.8
in the mouth of madness,7.1
in the name of the father,7.6
in the realm of the senses,6.5
independence day,6.7
infinity,0
"institute benjamenta, or this dream people call human life",7.7
interview with the vampire,7.2
it could happen to you,6.1
it happened one night,7.7
it takes two,6.1
it's a wonderful life,8
it's my party,6.2
jack,5.9
jack & sarah,5.1
jade,5.1
james and the giant peach,6.2
jane eyre,7.1
jason's lyric,5.9
jaws,7.5
jefferson in paris,5.2
jeffrey,6.5
jimmy hollywood,4.6
joe's apartment,5
johnny mnemonic,5.5
judge dredd,5.4
judgment night,6.4
jumanji,6.9
junior,4.7
jupiter's wife,0
jurassic park,7.6
jury duty,4
just cause,6
kalifornia,6.5
kansas city,6.1
kaspar hauser,6.3
kazaam,3.6
kicking and screaming,7
kids,6.8
kids in the hall: brain candy,5.9
kids of the round table,3
kika,6.8
killer,3
killer: a journal of murder,6.3
killing zoe,6.1
kim,7
king of the hill,6.4
kingpin,6.7
kiss of death,5.7
l'associé,6
l'enfer,6.6
la collectionneuse,6.5
la haine,7.9
lady of burlesque,5
ladybird ladybird,7.4
lamerica,7.7
land and freedom,7
larger than life,5.4
lassie,6.1
last action hero,6.1
last dance,5.6
last man standing,6.2
last summer in the hamptons,0
laura,7.6
lawnmower man 2: beyond cyberspace,2.8
le garçu,5
leaving las vegas,7.1
legends of the fall,7.2
leon: the professional,8.2
les miserables,6.6
liebelei,6.3
life is rosy,6.5
life with mikey,5.1
lightning jack,5.7
like water for chocolate,6.6
little big league,6
little buddha,6
"little indian, big city",6
little lord fauntleroy,6.6
little odessa,6.4
little women,7
live nude girls,4.7
living in oblivion,7.2
loaded,4
lone star,6.9
lord of illusions,5.9
losing isaiah,6.4
lost horizon,6.8
lotto land,7
love & human remains,7
love affair,4.3
love and a .45,5.5
love in the afternoon,7.3
lover's knot,4
m. butterfly,6.6
mad love,5.5
madagascar skin,0
made in america,5.3
magic hunter,6
major payne,6.1
malice,5.9
mallrats,6.8
man of the house,5.1
man of the year,3.8
manhattan murder mystery,7.1
manny & lo,6.3
margaret's museum,7.5
martin lawrence: you so crazy,4.5
mary poppins,7.4
mary reilly,5.7
mary shelley's frankenstein,6.1
matilda,6.9
maverick,6.6
maximum risk,5.3
maya lin: a strong clear vision,0
maybe... maybe not,6.1
meet john doe,7.3
meet me in st. louis,6.8
menace ii society,7.2
mi vida loca,5.7
miami rhapsody,5.6
michael collins,6.8
midnight dancers,7
mighty aphrodite,6.7
mighty morphin power rangers: the movie,5.2
milk money,5.6
mille bolle blu,6
miracle on 34th street,6.4
mirage,4
mission: impossible,6.7
mixed nuts,5.2
moll flanders,6.2
money train,5.4
moonlight and valentino,5.6
moonlight murder,6
mortal kombat,5.4
mother night,7.1
mouth to mouth,5.5
mr. holland's opus,6.9
mr. jones,5.9
mr. smith goes to washington,7.9
mr. wonderful,5.5
mr. wrong,3.3
mrs. doubtfire,7
mrs. parker and the vicious circle,6.3
mrs. winterbourne,5.5
much ado about nothing,7.2
mulholland falls,6.2
multiplicity,5.5
muppet treasure island,6.5
murder in the first,6.9
muriel's wedding,6.9
mute witness,6.4
my fair lady,7.4
my family,7
my favorite season,6.4
my favorite year,7.1
my life and times with antonin artaud,8
my man godfrey,7.7
my mother's courage,0
mystery science theater 3000: the movie,7
nadja,5.9
naked,7.5
naked in new york,4
natural born killers,6.9
nell,6.1
nelly and monsieur arnaud,7.1
nemesis 2 - nebula,4.6
new jersey drive,6.9
new nightmare,6.4
new york cop,0
nick of time,6.1
nico icon,7.3
night of the living dead,7.5
nina takes a lover,7.4
nine months,5.5
ninotchka,7.3
nixon,7.1
no escape,6.1
nobody loves me,5.1
nobody's fool,7
north,4.8
north by northwest,7.8
nothing personal,4
nothing to lose,0
notorious,7.8
now and then,6.6
nueba yol,5.5
of human bondage,6.4
of love and shadows,4.4
old yeller,7
oliver & company,6.5
once upon a time... when we were colored,4.5
once were warriors,7.6
one fine day,6.1
only you,6.4
open season,0
operation dumbo drop,4.7
original gangstas,5.5
orlando,6.7
othello,7
outbreak,6.4
panther,6.4
"paris, france",6
party girl,5.8
pather panchali,7.9
peanuts – die bank zahlt alles,4
penny serenade,6.4
persuasion,7.4
pharaoh's  army,6.3
phat beach,5.4
phenomenon,6.2
philadelphia,7.6
picnic,6.7
picture bride,7.4
pie in the sky,7
pinocchio,6.9
pocahontas,6.7
poetic justice,6.9
poison ivy ii: lily,4.6
police story 3: supercop,6.7
pollyanna,6.9
powder,6.3
power 98,4
pretty woman,7
priest,6.4
priest daens,6.7
primal fear,7.4
princess caraboo,4.4
project s,5.8
prêt-à-porter,5.3
pulp fiction,8.3
purple noon,7.3
pushing hands,6.1
quartier mozart,5
queen margot,7
quiz show,7.1
race the sun,5.2
radioland murders,5.8
ransom,6.4
reality bites,6.5
rear window,8.2
rebecca,7.7
reckless,10
"red firecracker, green firecracker",7
red rock west,6.4
regular guys,5.2
relative fear,4.7
renaissance man,5.9
rendezvous in paris,6.5
rent-a-kid,5.1
restoration,6.3
richard iii,6.9
rising sun,5.8
ri¢hie ri¢h,5.4
rob roy,6.5
robin hood: men in tights,6.4
robin hood: prince of thieves,6.6
robocop 3,4.2
roman holiday,7.8
romeo is bleeding,5.7
romper stomper,6.6
roommates,6.4
roula,5
ruby in paradise,5.6
rude,6
rudy,7.2
rumble in the bronx,6.5
s.f.w.,6.1
sabrina,6.2
safe,7.2
safe passage,4.9
savage nights,6.2
scandal,5.8
schindler's list,8.3
scream of stone,7.5
screamers,6.1
se7en,8.1
searching for bobby fischer,7.3
second best,5.9
senior trip,5.7
sense and sensibility,7.2
serial mom,6.4
set it off,6.9
sgt. bilko,5.5
shadow of angels,4
shadowlands,6.8
shallow grave,7
shanghai triad,6.5
she's the one,5.7
shopping,5.6
short cuts,6.9
showgirls,4.9
singin' in the rain,7.9
sirens,5.2
six degrees of separation,6.5
sleepless in seattle,6.5
sliver,4.9
small faces,6.4
small wonders,0
smoke,7.2
snow white and the seven dwarfs,6.9
so dear to my heart,6.3
so i married an axe murderer,6.1
solo,3.9
some folks call it a sling blade,7.5
some like it hot,8
somebody to love,5.1
someone else's america,0
something to sing about,3.8
something to talk about,5.7
son in law,5.6
sonic outlaws,0
space jam,6.5
spanking the monkey,5.3
species,5.5
speechless,5.5
speed,6.8
spellbound,7.3
spirits of the dead,5.5
spy hard,4.9
stalingrad,7.4
star trek: generations,6.4
star wars,8.1
stargate,6.8
steal big steal little,5.1
stealing beauty,6.6
stefano quantestorie,6
stonewall,7.2
strange days,6.8
strawberry and chocolate,7.1
street fighter,4.1
striking distance,5.4
striptease,4.4
stuart saves his family,5
sudden death,5.5
sunset boulevard,8.2
sunset park,5.1
super mario bros.,4
surviving the game,6.1
suture,6
sweet nothing,5
swimming with sharks,6.7
swiss family robinson,7
switchblade sisters,6.6
tales from the crypt: demon knight,6.7
tales from the hood,5.4
talk of angels,6.8
tank girl,5.5
tarantella,0
target,0
taxi driver,8.1
terminal velocity,5
terminator 2: judgment day,7.7
that darn cat!,6.4
the 39 steps,7.4
the addiction,6.4
the adventures of pinocchio,5
"the adventures of priscilla, queen of the desert",7.2
the adventures of robin hood,7.6
the african queen,7.4
the age of innocence,7
the air up there,5.1
the amazing panda adventure,5
the american president,6.5
the apartment,8.1
the apple dumpling gang,6.6
the aristocats,7.1
the arrival,6.1
the baby-sitters club,5.3
the babysitter,4.7
the ballad of narayama,6.4
the band wagon,7.1
the basketball diaries,7.2
"the beans of egypt, maine",0
the beverly hillbillies,5
the big green,5.2
the big squeeze,5
the birdcage,6.7
the boys of st. vincent,7
the brady bunch movie,5.9
the bridges of madison county,7.3
the brothers mcmullen,6.3
the browning version,6
the cable guy,5.7
the celluloid closet,7
the chamber,5.9
the city of lost children,7.6
the client,6.4
the confessional,6.5
the convent,6.5
the cowboy way,5.1
the craft,6.3
the crossing guard,6.1
the crow,7.3
the crow: city of angels,5.2
the cure,7.2
the day the sun turned cold,7
the doom generation,5.6
the endless summer 2,7.1
the englishman who went up a hill but came down a mountain,6.1
the escort,5
the eye of vichy,0
the fan,5.7
the favor,3.3
the fear,3.4
the firm,6.6
the first wives club,6.5
the flintstones,5
the flower of my secret,6.9
the frighteners,6.7
the fugitive,7.2
the gate of heavenly peace,6.7
the gay divorcee,7.2
the getaway,5.4
the ghost and mrs. muir,7.3
the glass shield,5.4
the glimmer man,4.7
the godfather,8.5
the grass harp,6.1
the great white hype,5.1
"the haunted world of edward d. wood, jr.",10
the horseman on the roof,6.7
the house of the spirits,6.7
the hudsucker proxy,7.1
the hunchback of notre dame,6.8
the hunted,6
the indian in the cupboard,5.9
the inkwell,3.9
the inspector general,6.2
the island of dr. moreau,4.6
the jar,8
the jerky boys,4.8
the journey of august king,6.7
the jungle book,5.9
the juror,5.5
the land before time iii: the time of the great giving,6.1
the last of the high kings,5.7
the last supper,6.5
the last time i saw paris,5.1
the lion king,8
the little princess,7
the little rascals,6.3
the love bug,6
the madness of king george,6.7
the maltese falcon,7.8
the man from down under,0
the man without a face,6.2
the mark of zorro,7.1
the mask,6.6
the naked gun 33⅓: the final insult,6.4
the neon bible,7.2
the net,5.6
the neverending story iii: escape from fantasia,4.4
the new age,4.8
the next karate kid,4.8
the nightmare before christmas,7.6
the nutty professor,5.4
the old lady who walked in the sea,0
the outlaw,4.9
the pagemaster,6.2
the pallbearer,4.6
the paper,6.1
the parent trap,6.8
the perez family,6.6
the phantom,4.7
the philadelphia story,7.7
the piano,7.1
the pompatus of love,5.3
the postman,7.6
the program,6
the promise,5
the prophecy,6.4
the puppet masters,5.6
the quest,5.3
the quick and the dead,6.2
the ref,6.7
the relic,5.8
the reluctant debutante,6.6
the remains of the day,7.5
the rich man's wife,4.9
the river wild,6.1
the road to wellville,5.5
the rock,6.9
the run of the country,8
the saint of fort washington,4
the santa clause,6.3
the scarlet letter,8.3
the scout,5.3
the secret adventures of tom thumb,7.1
the secret garden,7.1
the secret of roan inish,6.1
the shadow,5.4
the shaggy dog,6.2
the shawshank redemption,8.5
the show,5.3
the silence of the lambs,8.1
the silences of the palace,4.3
the slingshot,6.2
the specialist,5.5
the spitfire grill,6.8
the star maker,6.8
the stars fell on henrietta,6.6
the story of xinghua,0
the stupids,4.2
the substitute,5.8
the sum of us,6
the superwife,5.3
the swan princess,6.5
the sword in the stone,6.9
the thin man,7.4
the three caballeros,6.2
the three musketeers,6.2
the tie that binds,4.6
the trigger effect,6.6
the truth about cats & dogs,5.7
the umbrellas of cherbourg,7.6
the underneath,5.6
the usual suspects,8.1
the visitors,7.1
the walking dead,6.6
the war,6.3
the war room,7.3
the way we laughed,8.6
the white balloon,7.5
the wild bunch,7.7
the wizard of oz,7.4
the women,6.4
"the wonderful, horrible life of leni riefenstahl",7.3
the wooden man's bride,6.5
the world of apu,8.2
the young poisoner's handbook,6.9
theodore rex,3.6
they bite,5.5
they made me a criminal,5.6
things to do in denver when you're dead,6.7
thinner,5.5
thirty two short films about glenn gould,7.4
three colors: blue,7.7
three colors: red,7.8
three colors: white,7.3
three wishes,6.1
threesome,6.3
tigrero: a film that was never made,7.5
til there was you,3.9
timecop,5.5
tin cup,5.9
to be or not to be,7.7
to catch a thief,7.1
to cross the rubicon,0
to die for,6.7
to live,7.7
"to wong foo, thanks for everything! julie newmar",6.3
tom & viv,5.8
tom and huck,5.4
tombstone,7.4
tommy boy,6.8
top hat,7.4
total eclipse,6.5
tough and deadly,6.3
touki bouki,7.3
toy story,7.7
trainspotting,7.8
trial by jury,5.5
true crime,5.1
true lies,6.8
true romance,7.5
twelfth night,7
twelve monkeys,7.4
twister,6.1
two bits,5.4
two deaths,7
two friends,0
two if by sea,4.5
two much,5.1
und keiner weint mir nach,0
under siege 2: dark territory,5.6
under the domim tree,6.5
underground,7.5
unforgettable,5.3
unstrung heroes,6.4
unzipped,6
up close & personal,5.9
vampire in brooklyn,4.5
vanya on 42nd street,6.1
venice,7.5
vermont is for lovers,0
vertigo,8
village of the damned,5.6
virgin mary,7
virtuosity,5.4
vive l'amour,7.3
waiting to exhale,6.1
walking and talking,6.6
war stories our mother never told us,0
waterworld,5.9
welcome to the dollhouse,6.9
what happened was...,7
what's eating gilbert grape,7.5
what's love got to do with it,6.9
when a man loves a woman,6
when night is falling,5.9
while you were sleeping,6.5
white man's burden,5.1
white squall,6.3
wide eyed and legless,0
widows' peak,4.3
wife,0
wild bill,5.9
wild reeds,7.4
window to paris,6
windows,5.8
wings of courage,6.8
winnie the pooh and the blustery day,7.8
with honors,6.1
wolf,6
wyatt earp,6.5
yankee zulu,6
"yes, madam",7.4
